,User,Date,Tweet,Tweets Ago,Compound,Negative,Neutral,Positive
54,@BBCNews,Fri Sep 21 23:30:39 +0000 2018,Rihanna appointed as ambassador by Barbados https://t.co/sfZP2GEQHd,55,0.0,1.0,0.0,0.0
55,@BBCNews,Fri Sep 21 23:27:35 +0000 2018,Code-cracking WW2 Bombe operation recreated at Bletchley https://t.co/W9TJb251sF,56,0.0,1.0,0.0,0.0
56,@BBCNews,Fri Sep 21 23:24:38 +0000 2018,Minimum wage: Workers underpaid by record £15.6m https://t.co/L4KlfSTINZ,57,0.0,1.0,0.0,0.0
57,@BBCNews,Fri Sep 21 21:50:40 +0000 2018,Newspaper headlines: 'Defiant' May gives Brexit 'ultimatum' https://t.co/Z6k6Rwkn14,58,0.0,1.0,0.0,0.0
58,@BBCNews,Fri Sep 21 21:06:09 +0000 2018,Saturday’s Telegraph: “Ministers demand ‘Plan B’ from May” #bbcpapers #tomorrowspaperstoday (via @AllieHBNews) https://t.co/LPl604stMk,59,-0.128,0.889,0.111,0.0
59,@BBCNews,Fri Sep 21 21:05:56 +0000 2018,Saturday’s Express: “May’s Finest Hour” #bbcpapers #tomorrowspaperstoday (via @AllieHBNews)  https://t.co/PrtvF9iIlW,60,0.0,1.0,0.0,0.0
60,@BBCNews,Fri Sep 21 20:57:31 +0000 2018,RT @bbcweather: #StormBronagh has raced away from the UK and is battering Norway where recent coastal gusts have reached 96mph! CF,61,0.1759,0.922,0.0,0.078
61,@BBCNews,Fri Sep 21 20:57:04 +0000 2018,FT Weekend: “May throws down gauntlet to EU with warning of Brexit standstill” #bbcpapers #tomorrowspaperstoday (vi… https://t.co/6IdCUjm4Pw,62,-0.34,0.87,0.13,0.0
62,@BBCNews,Fri Sep 21 20:56:02 +0000 2018,Saturday’s Mail: “The May Ultimatum” #bbcpapers #tomorrowspaperstoday (via @AllieHBNews) https://t.co/6OlOBSd1Tv,63,0.0,1.0,0.0,0.0
63,@BBCNews,Fri Sep 21 20:55:05 +0000 2018,i Weekend: “May tells EU: I’m not for turning” #bbcpapers #tomorrowspaperstoday (via @AllieHBNews)  https://t.co/zKMwTKCyqo,64,0.0,1.0,0.0,0.0
